Dataset,Method,Hardness,Spearman Rho,p-value,low_recall
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9757575757575757,1.4675461874042197e-06,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,selectivity,0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,correlation,0.1515151515151515,0.6760651759978538,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,selectivity,-0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,correlation,0.04242424242424241,0.907363817812816,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,selectivity,-0.6848484848484848,0.02888279750673276,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,correlation,-0.7212121212121211,0.018573155089460208,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,Post_Hardness,-0.8333333333333333,0.005265691029161748,0
